domain,checks,drift_checks,performance_checks,required_performance_metrics,performance_status_by_metric,accepted_performance_metrics,blocking_performance_metrics,strict_performance_metrics,strict_blocking_performance_metrics,drift_supported_metrics,strict_performance_supported,supported,noninferiority_supported,positive_mixed,summary_only_positive,summary_only_noharm,not_supported,verdict
native_real_demand,8,0,7,"['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min', 'native_completed_throughput_pax']","{'avg_wait_min': ['positive_mixed'], 'control_score': ['supported'], 'ep_reward': ['supported'], 'native_alighted_pax': ['not_supported', 'supported'], 'native_avg_board_wait_min': ['positive_mixed', 'supported'], 'native_completed_throughput_pax': []}","['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min']",['native_completed_throughput_pax'],"['control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min']","['avg_wait_min', 'native_completed_throughput_pax']",[],False,4,0,2,0,0,1,partial
native_real_demand_alighting_safe_v2,36,2,8,"['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min', 'native_completed_throughput_pax']","{'avg_wait_min': ['inconclusive'], 'control_score': ['supported'], 'ep_reward': ['supported'], 'native_alighted_pax': ['inconclusive', 'supported'], 'native_avg_board_wait_min': ['inconclusive', 'supported'], 'native_completed_throughput_pax': ['inconclusive']}","['control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min']","['avg_wait_min', 'native_completed_throughput_pax']","['control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min']","['avg_wait_min', 'native_completed_throughput_pax']",[],False,9,0,0,0,0,16,partial
native_real_demand_alighting_throughput_v5,37,2,8,"['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min', 'native_completed_throughput_pax']","{'avg_wait_min': ['inconclusive'], 'control_score': ['supported'], 'ep_reward': ['supported'], 'native_alighted_pax': ['not_supported', 'supported'], 'native_avg_board_wait_min': ['inconclusive', 'supported'], 'native_completed_throughput_pax': ['not_supported']}","['control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min']","['avg_wait_min', 'native_completed_throughput_pax']","['control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min']","['avg_wait_min', 'native_completed_throughput_pax']",[],False,13,0,0,0,0,14,partial
native_real_demand_alighting_wait_v4,37,2,8,"['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min', 'native_completed_throughput_pax']","{'avg_wait_min': ['not_supported'], 'control_score': ['supported'], 'ep_reward': ['supported'], 'native_alighted_pax': ['not_supported', 'supported'], 'native_avg_board_wait_min': ['not_supported', 'supported'], 'native_completed_throughput_pax': ['not_supported']}","['control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min']","['avg_wait_min', 'native_completed_throughput_pax']","['control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min']","['avg_wait_min', 'native_completed_throughput_pax']",[],False,9,0,0,0,0,25,partial
native_real_demand_service_response_v7,50,2,10,"['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min', 'native_completed_throughput_pax']","{'avg_wait_min': ['supported'], 'control_score': ['supported'], 'ep_reward': ['supported'], 'native_alighted_pax': ['supported'], 'native_avg_board_wait_min': ['supported'], 'native_completed_throughput_pax': ['supported']}","['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min', 'native_completed_throughput_pax']",[],"['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min', 'native_completed_throughput_pax']",[],['LowerLFDrift'],True,28,0,0,0,0,20,no_tradeoff_strict_supported
native_real_demand_throughput_safe_wait_v6,39,2,10,"['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min', 'native_completed_throughput_pax']","{'avg_wait_min': ['not_supported', 'supported'], 'control_score': ['supported'], 'ep_reward': ['supported'], 'native_alighted_pax': ['not_supported', 'supported'], 'native_avg_board_wait_min': ['not_supported', 'supported'], 'native_completed_throughput_pax': ['not_supported', 'supported']}","['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min', 'native_completed_throughput_pax']",[],"['avg_wait_min', 'control_score', 'ep_reward', 'native_alighted_pax', 'native_avg_board_wait_min', 'native_completed_throughput_pax']",[],[],True,13,0,0,0,0,23,partial
trading_constraint,4,1,3,[],"{'FocusScore': ['supported'], 'sharpe': ['supported'], 'total_return': ['supported']}","['FocusScore', 'sharpe', 'total_return']",[],"['FocusScore', 'sharpe', 'total_return']",[],[],True,3,0,0,0,0,1,partial
trading_ppo_primal_dual,4,1,3,[],"{'max_drawdown': ['summary_only_noharm'], 'sharpe': ['summary_only_noharm'], 'total_return': ['summary_only_noharm']}","['max_drawdown', 'sharpe', 'total_return']",[],[],"['max_drawdown', 'sharpe', 'total_return']",[],False,0,0,0,1,3,0,summary_only_noharm
transit_ppo_primal_dual,4,1,3,[],"{'headway_cv': ['summary_only_noharm'], 'reward_mean': ['summary_only_noharm'], 'wait_proxy': ['summary_only_positive']}","['headway_cv', 'reward_mean', 'wait_proxy']",[],[],"['headway_cv', 'reward_mean', 'wait_proxy']",[],False,0,0,0,2,2,0,summary_only_noharm
transit_real_surrogate,5,2,3,[],"{'control_objective': ['supported'], 'reward_mean': ['supported'], 'wait_proxy': ['supported']}","['control_objective', 'reward_mean', 'wait_proxy']",[],"['control_objective', 'reward_mean', 'wait_proxy']",[],"['LowerLFDrift', 'RawLowerLFDriftAbs']",True,5,0,0,0,0,0,no_tradeoff_strict_supported
