stage,command,output,expected
unit_tests,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m unittest discover -s transit_hrl/tests,all local tests,OK
claim_matrix,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m freq_hrl.experiments.top_journal_unified_matrix --output-dir transit_hrl/results/top_journal_unified_matrix_latest,"claims.csv, report.md, summary.json",9 conservative claims with explicit boundaries
external_truth_raw_cache,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m freq_hrl.experiments.transit.external_transit_truth_validation --download-missing --mta-od-total-rows 116279069 --output-dir transit_hrl/results/external_transit_truth_validation_latest,public MBTA/MTA derived summaries; raw caches remain ignored,supported public board/alight/load and estimated OD coverage
agency_coverage,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m freq_hrl.experiments.transit.agency_demand_onboard_coverage --output-dir transit_hrl/results/agency_demand_onboard_coverage_latest,"source_coverage.csv, claim_boundaries.csv, deployment_data_gate.csv",field coverage and same-agency native-control boundary ledger
baseline_manifest,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m freq_hrl.experiments.baseline_ablation_matrix --output-dir transit_hrl/results/baseline_ablation_matrix_latest,paired baseline and ablation checks,frequency-responsibility baselines supported where registered
strong_learned_baselines,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m freq_hrl.experiments.trading.strong_learned_baseline_validation --output-dir transit_hrl/results/strong_learned_baseline_validation_latest,"learned PPO-family per-seed rows, paired checks, parameter budget, and sample-efficiency tables",matched-budget Freq-HRL PPO vs flat PPO and generic HRL PPO evidence; SAC/TD3 remain explicit registered baselines until implemented
cs_top_venue_experiment_matrix,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m freq_hrl.experiments.cs_top_venue_experiment_matrix --output-dir transit_hrl/results/cs_top_venue_experiment_matrix_latest,1-8 experiment matrix and scheduler manifest,"reviewer-facing experiment ledger with commands, gates, and claim boundaries"
figures,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m freq_hrl.experiments.manuscript_figures --output-dir transit_hrl/results/manuscript_figures_latest,SVG/PDF/PNG/TIFF figures and source_data CSVs,five manuscript figures
submission_pack,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m freq_hrl.experiments.manuscript_submission_pack --output-dir transit_hrl/results/manuscript_submission_pack_latest,conservative submission package,"claim tables, methods/SI, data availability"
theory_appendix,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m freq_hrl.experiments.theory_appendix --output-dir transit_hrl/results/freq_hrl_theory_appendix_latest,formal theorem/proposition appendix,sufficient-condition and reporting-boundary statements
carrier_upgrade,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=transit_hrl python3 -m freq_hrl.experiments.carrier_upgrade_package --output-dir transit_hrl/results/carrier_upgrade_package_latest,carrier upgrade md and manifests,"frozen spec, audit, baseline, data, theory, manuscript, reproducibility package"
